User ID,Session Duration,Pages Visited,Items Viewed,Login Frequency,Cart Additions,Successful Transactions,Failed Transactions,Device Type,Authentication Method,Age,Location
6303,106,9,7,10,0,2,1,Desktop,Password,23,Cocos (Keeling) Islands
6716,64,6,18,3,5,2,0,Desktop,Password,45,Vanuatu
8133,100,8,10,2,5,1,0,Desktop,Not Required,43,Uganda
2042,2,5,5,5,2,3,1,Mobile,OTP,70,Aruba
5532,78,4,20,2,3,1,0,Mobile,Biometric,21,United Kingdom
5353,35,6,4,5,0,0,1,Mobile,Biometric,36,Maldives
8682,74,8,7,3,4,2,1,Tablet,Biometric,23,Wallis and Futuna
1897,70,3,5,5,5,2,0,Desktop,Password,18,Palau
5967,2,2,3,5,4,2,0,Tablet,Biometric,68,Iraq
1329,77,8,11,2,4,0,1,Mobile,Biometric,54,Iceland
6247,120,5,14,3,1,1,0,Mobile,OTP,30,Latvia
3845,75,5,2,5,0,3,1,Tablet,OTP,20,Gambia
8656,81,7,6,2,4,3,1,Mobile,Biometric,25,Slovenia
3906,95,4,18,2,4,3,1,Tablet,Biometric,66,Guatemala
8886,46,6,1,3,0,3,0,Desktop,Password,55,Bouvet Island (Bouvetoya)
9307,10,5,8,10,1,2,1,Desktop,Password,58,Kuwait
190,24,8,13,5,0,1,0,Mobile,Biometric,49,Thailand
508,77,5,10,1,1,1,1,Tablet,OTP,48,Sudan
2483,36,5,10,1,5,3,1,Mobile,OTP,52,Portugal
7504,99,3,20,5,4,1,0,Mobile,Biometric,31,Uruguay
3712,5,8,19,1,1,1,1,Mobile,Biometric,19,Congo
3216,111,6,2,5,3,3,1,Desktop,Password,52,Luxembourg
6118,57,9,4,2,5,1,0,Tablet,Biometric,19,Singapore
7723,63,10,7,3,4,2,0,Tablet,Biometric,46,Palau
5467,42,10,20,5,5,1,0,Tablet,Biometric,47,Switzerland
4216,73,8,14,3,4,3,0,Tablet,Biometric,24,Cote d'Ivoire
531,16,7,8,5,4,3,0,Tablet,Biometric,67,Saint Vincent and the Grenadines
4630,71,1,19,3,2,0,0,Desktop,Not Required,18,Bermuda
4408,20,8,9,1,5,1,1,Desktop,Not Required,25,Netherlands
8301,11,1,19,2,5,1,0,Mobile,OTP,21,Albania
8791,19,1,16,2,4,1,0,Desktop,Not Required,43,Jersey
2771,32,2,15,10,1,1,1,Tablet,OTP,34,Thailand
8345,98,1,19,10,4,2,0,Desktop,Password,60,Croatia
3833,3,7,5,10,2,1,0,Tablet,Password,54,Switzerland
826,78,10,20,10,0,0,1,Mobile,OTP,18,Gabon
4274,83,9,8,3,3,2,0,Mobile,OTP,58,Georgia
2619,68,9,3,10,3,2,1,Mobile,OTP,34,Niger
1513,113,4,13,5,3,1,1,Desktop,Not Required,32,Mexico
1,83,10,7,5,2,1,0,Desktop,Not Required,27,Marshall Islands
7551,65,10,11,1,2,3,0,Tablet,OTP,18,Vietnam
3012,9,10,7,10,1,0,1,Mobile,Biometric,59,Belgium
1501,87,3,7,1,4,3,1,Mobile,Biometric,26,Grenada
2239,50,1,3,3,3,1,1,Tablet,OTP,60,Marshall Islands
1755,57,1,4,2,4,0,0,Tablet,Biometric,33,Cambodia
2626,23,7,11,2,1,2,0,Mobile,OTP,20,Singapore
4671,68,5,4,5,3,2,0,Desktop,Password,60,Saint Kitts and Nevis
3873,119,2,8,5,0,1,0,Desktop,Not Required,53,Croatia
149,47,4,4,3,0,3,0,Tablet,OTP,55,Guinea-Bissau
9728,83,2,19,1,1,2,0,Tablet,OTP,62,Guinea-Bissau
8994,95,10,19,3,4,3,1,Tablet,Biometric,56,Guernsey
3144,44,1,2,5,3,0,1,Tablet,OTP,23,Chad
7836,73,5,18,1,4,3,1,Tablet,Biometric,64,Costa Rica
4460,67,6,1,1,1,3,0,Desktop,Password,27,Zimbabwe
4601,101,6,15,3,5,2,0,Mobile,OTP,43,Cuba
279,107,3,3,3,5,0,1,Mobile,Biometric,30,Niger
